,fullDate,day,dayOfWeek,month,bimonthly,quarter,fourMonths,year,decade
0,2022-09-19,19,Monday,9,5,3,3,2022,2020
1,2022-09-18,18,Sunday,9,5,3,3,2022,2020
2,2022-09-16,16,Friday,9,5,3,3,2022,2020
3,2022-09-15,15,Thursday,9,5,3,3,2022,2020
4,2022-09-14,14,Wednesday,9,5,3,3,2022,2020
5,2022-09-13,13,Tuesday,9,5,3,3,2022,2020
6,2022-09-12,12,Monday,9,5,3,3,2022,2020
7,2022-09-11,11,Sunday,9,5,3,3,2022,2020
8,2022-09-10,10,Saturday,9,5,3,3,2022,2020
9,2022-09-08,8,Thursday,9,5,3,3,2022,2020
10,2022-09-07,7,Wednesday,9,5,3,3,2022,2020
11,2022-09-05,5,Monday,9,5,3,3,2022,2020
12,2022-09-04,4,Sunday,9,5,3,3,2022,2020
13,2022-09-02,2,Friday,9,5,3,3,2022,2020
14,2022-08-31,31,Wednesday,8,4,3,2,2022,2020
15,2022-08-30,30,Tuesday,8,4,3,2,2022,2020
16,2022-08-29,29,Monday,8,4,3,2,2022,2020
17,2022-08-28,28,Sunday,8,4,3,2,2022,2020
18,2022-08-27,27,Saturday,8,4,3,2,2022,2020
19,2022-08-26,26,Friday,8,4,3,2,2022,2020
20,2022-08-25,25,Thursday,8,4,3,2,2022,2020
21,2022-08-24,24,Wednesday,8,4,3,2,2022,2020
22,2022-08-23,23,Tuesday,8,4,3,2,2022,2020
23,2022-08-22,22,Monday,8,4,3,2,2022,2020
24,2022-08-20,20,Saturday,8,4,3,2,2022,2020
25,2022-08-19,19,Friday,8,4,3,2,2022,2020
26,2022-08-18,18,Thursday,8,4,3,2,2022,2020
27,2022-08-17,17,Wednesday,8,4,3,2,2022,2020
28,2022-08-16,16,Tuesday,8,4,3,2,2022,2020
29,2022-08-15,15,Monday,8,4,3,2,2022,2020
30,2022-08-13,13,Saturday,8,4,3,2,2022,2020
31,2022-08-12,12,Friday,8,4,3,2,2022,2020
32,2022-08-10,10,Wednesday,8,4,3,2,2022,2020
33,2022-08-09,9,Tuesday,8,4,3,2,2022,2020
34,2022-08-08,8,Monday,8,4,3,2,2022,2020
35,2022-08-07,7,Sunday,8,4,3,2,2022,2020
36,2022-08-06,6,Saturday,8,4,3,2,2022,2020
37,2022-08-05,5,Friday,8,4,3,2,2022,2020
38,2022-08-02,2,Tuesday,8,4,3,2,2022,2020
39,2022-08-01,1,Monday,8,4,3,2,2022,2020
40,2022-07-31,31,Sunday,7,4,3,2,2022,2020
41,2022-07-30,30,Saturday,7,4,3,2,2022,2020
42,2022-07-29,29,Friday,7,4,3,2,2022,2020
43,2022-07-28,28,Thursday,7,4,3,2,2022,2020
44,2022-07-27,27,Wednesday,7,4,3,2,2022,2020
45,2022-07-26,26,Tuesday,7,4,3,2,2022,2020
46,2022-07-25,25,Monday,7,4,3,2,2022,2020
47,2022-07-24,24,Sunday,7,4,3,2,2022,2020
48,2022-07-22,22,Friday,7,4,3,2,2022,2020
49,2022-07-21,21,Thursday,7,4,3,2,2022,2020
50,2022-07-20,20,Wednesday,7,4,3,2,2022,2020
51,2022-07-19,19,Tuesday,7,4,3,2,2022,2020
52,2022-07-18,18,Monday,7,4,3,2,2022,2020
53,2022-07-17,17,Sunday,7,4,3,2,2022,2020
54,2022-07-15,15,Friday,7,4,3,2,2022,2020
55,2022-07-14,14,Thursday,7,4,3,2,2022,2020
56,2022-07-13,13,Wednesday,7,4,3,2,2022,2020
57,2022-07-12,12,Tuesday,7,4,3,2,2022,2020
58,2022-07-11,11,Monday,7,4,3,2,2022,2020
59,2022-07-10,10,Sunday,7,4,3,2,2022,2020
60,2022-07-09,9,Saturday,7,4,3,2,2022,2020
61,2022-07-08,8,Friday,7,4,3,2,2022,2020
62,2022-07-06,6,Wednesday,7,4,3,2,2022,2020
63,2022-07-05,5,Tuesday,7,4,3,2,2022,2020
64,2022-07-03,3,Sunday,7,4,3,2,2022,2020
65,2022-07-02,2,Saturday,7,4,3,2,2022,2020
66,2022-06-30,30,Thursday,6,3,2,2,2022,2020
67,2022-06-29,29,Wednesday,6,3,2,2,2022,2020
68,2022-06-28,28,Tuesday,6,3,2,2,2022,2020
69,2022-06-27,27,Monday,6,3,2,2,2022,2020
70,2022-06-25,25,Saturday,6,3,2,2,2022,2020
