dateID,locationID,contentID,NumberNegativeNews,NumberPositiveNews,totalQuantity
0,10805,0,0,1,1
1,11867,1,1,0,1
2,9860,2,0,1,1
3,8870,3,0,1,1
4,9867,4,0,1,1
5,19252,5,0,1,1
6,19932,6,0,1,1
6,15998,7,0,1,1
6,4149,8,0,1,1
7,10759,9,0,1,1
8,3320,10,1,0,1
9,2739,11,1,0,1
9,4017,12,0,1,1
9,24207,13,1,0,1
10,22286,14,1,0,1
11,631,15,1,0,1
11,14771,16,1,0,1
12,11063,17,1,0,1
13,11000,18,0,1,1
14,27333,19,1,0,1
14,2044,20,0,1,1
14,10379,21,1,0,1
14,10436,22,1,0,1
15,28004,23,1,0,1
15,2990,24,1,0,1
16,11454,25,1,0,1
16,17810,26,1,0,1
17,14023,27,1,0,1
17,17285,28,1,0,1
18,14147,29,1,0,1
18,16426,30,1,0,1
18,22277,31,1,0,1
19,13518,32,1,0,1
19,13913,33,1,0,1
20,2667,34,1,0,1
20,19894,35,1,0,1
21,16733,36,0,1,1
21,12110,37,0,1,1
21,23510,38,0,1,1
21,7918,39,1,0,1
21,23726,40,1,0,1
22,10592,41,1,0,1
22,11173,42,1,0,1
23,8918,43,0,1,1
23,3818,44,0,1,1
24,13901,45,1,0,1
24,12383,46,1,0,1
25,24790,47,0,1,1
26,933,48,1,0,1
27,9956,49,1,0,1
27,4158,50,1,0,1
28,8342,51,1,0,1
29,11618,52,0,1,1
30,19498,53,1,0,1
31,13391,54,0,1,1
31,10648,55,1,0,1
32,27708,56,1,0,1
33,12399,57,1,0,1
34,12356,58,1,0,1
34,13521,59,1,0,1
34,16740,60,1,0,1
34,15524,61,1,0,1
35,2346,62,0,1,1
36,13401,63,1,0,1
36,22315,64,1,0,1
37,20866,65,0,1,1
38,7952,66,0,1,1
39,25844,67,1,0,1
39,14748,68,0,1,1
40,19979,69,0,1,1
41,12632,70,1,0,1
42,27325,71,1,0,1
42,15280,72,1,0,1
43,7255,73,0,1,1
44,13438,74,1,0,1
44,1748,75,1,0,1
45,3671,76,0,1,1
45,20065,77,1,0,1
46,18599,78,1,0,1
47,19914,79,1,0,1
47,8033,80,1,0,1
48,16217,81,1,0,1
49,13613,82,1,0,1
49,26325,83,1,0,1
50,19466,84,0,1,1
50,16782,85,0,1,1
51,12635,86,1,0,1
52,25748,87,0,1,1
52,1291,88,1,0,1
52,2316,89,1,0,1
52,17093,90,1,0,1
52,8387,91,1,0,1
53,7926,92,1,0,1
53,27111,93,1,0,1
53,23490,94,1,0,1
54,5119,95,1,0,1
54,8225,96,1,0,1
54,24382,97,1,0,1
54,15117,98,1,0,1
55,25768,99,1,0,1
55,8812,100,1,0,1
56,20659,101,0,1,1
57,14641,102,1,0,1
58,7790,103,1,0,1
59,21875,104,0,1,1
60,13021,105,1,0,1
60,7962,106,0,1,1
60,22077,107,0,1,1
60,358,108,1,0,1
61,15981,109,1,0,1
62,1181,110,0,1,1
63,24165,111,0,1,1
63,24063,112,1,0,1
64,8658,113,1,0,1
64,17693,114,1,0,1
65,16816,115,1,0,1
65,17733,116,1,0,1
66,21454,117,0,1,1
67,123,118,1,0,1
68,2631,119,1,0,1
69,22840,120,1,0,1
70,23467,121,0,1,1
70,11291,122,1,0,1
71,4011,123,1,0,1
71,19874,124,1,0,1
71,943,125,0,1,1
71,19450,126,1,0,1
72,22468,127,1,0,1
72,4783,128,1,0,1
73,23795,129,0,1,1
74,26332,130,1,0,1
74,17450,131,1,0,1
75,27790,132,1,0,1
75,20130,133,1,0,1
76,23456,134,0,1,1
77,13197,135,1,0,1
77,15943,136,1,0,1
77,10855,137,1,0,1
78,23526,138,1,0,1
79,19228,139,0,1,1
80,17158,140,0,1,1
80,16127,141,1,0,1
81,11185,142,1,0,1
82,196,143,1,0,1
82,6322,144,1,0,1
83,3722,145,1,0,1
83,16761,146,1,0,1
84,21997,147,1,0,1
84,16053,148,1,0,1
85,10555,149,1,0,1
85,12110,150,1,0,1
86,19406,151,1,0,1
86,20447,152,1,0,1
87,6689,153,1,0,1
88,15772,154,0,1,1
88,27585,155,1,0,1
88,20046,156,1,0,1
89,1648,157,0,1,1
89,17802,158,1,0,1
90,19037,159,0,1,1
91,26699,160,1,0,1
92,23193,161,0,1,1
92,3814,162,1,0,1
92,14636,163,1,0,1
93,18951,164,1,0,1
93,12873,165,0,1,1
94,6917,166,1,0,1
95,3394,167,0,1,1
95,3486,168,1,0,1
96,20380,169,1,0,1
96,20748,170,0,1,1
97,4723,171,1,0,1
98,24132,172,1,0,1
98,7532,173,1,0,1
99,27806,174,1,0,1
100,6759,175,0,1,1
101,9706,176,1,0,1
101,12319,177,1,0,1
101,25452,178,0,1,1
102,11883,179,1,0,1
103,10733,180,1,0,1
104,7078,181,1,0,1
104,19535,182,1,0,1
105,20395,183,1,0,1
106,17269,184,1,0,1
106,17473,185,1,0,1
106,26323,186,1,0,1
106,10506,187,0,1,1
107,17761,188,1,0,1
108,2257,189,0,1,1
108,2408,190,0,1,1
108,9016,191,1,0,1
109,27111,192,0,1,1
109,18825,193,0,1,1
109,22547,194,1,0,1
109,10019,195,1,0,1
109,27599,196,1,0,1
110,13988,197,1,0,1
110,15861,198,1,0,1
111,20077,199,0,1,1
111,17444,200,1,0,1
111,13525,201,1,0,1
112,15829,202,1,0,1
113,19657,203,0,1,1
113,17689,204,1,0,1
114,4321,205,1,0,1
114,27955,206,1,0,1
115,13525,207,1,0,1
116,12567,208,1,0,1
117,5622,209,1,0,1
118,7557,210,1,0,1
118,2604,211,0,1,1
119,22339,212,1,0,1
119,12135,213,1,0,1
120,4751,214,1,0,1
120,17543,215,1,0,1
121,13004,216,0,1,1
121,14648,217,1,0,1
122,27208,218,1,0,1
123,16326,219,0,1,1
123,3823,220,1,0,1
123,26750,221,0,1,1
124,14189,222,1,0,1
124,26365,223,1,0,1
125,13964,224,1,0,1
125,20290,225,1,0,1
125,9139,226,1,0,1
126,4972,227,0,1,1
126,11927,228,0,1,1
127,18789,229,1,0,1
127,9765,230,1,0,1
128,7686,231,1,0,1
128,16082,232,1,0,1
129,11879,233,1,0,1
129,16311,234,1,0,1
130,5769,235,1,0,1
130,10859,236,1,0,1
131,6583,237,1,0,1
131,11660,238,1,0,1
132,17716,239,1,0,1
132,15390,240,1,0,1
133,19906,241,1,0,1
133,22954,242,1,0,1
133,16048,243,1,0,1
134,14419,244,1,0,1
135,25722,245,0,1,1
136,16627,246,0,1,1
136,8818,247,1,0,1
137,23080,248,1,0,1
138,4623,249,1,0,1
138,7676,250,1,0,1
138,10684,251,1,0,1
139,18115,252,1,0,1
139,21035,253,1,0,1
140,12902,254,1,0,1
140,3694,255,0,1,1
140,20120,256,0,1,1
141,14721,257,1,0,1
141,11792,258,0,1,1
142,21939,259,0,1,1
143,22715,260,1,0,1
143,19498,261,0,1,1
144,19036,262,0,1,1
145,19443,263,1,0,1
145,2908,264,1,0,1
146,20742,265,0,1,1
147,17451,266,0,1,1
147,17554,267,0,1,1
148,4197,268,1,0,1
148,26550,269,1,0,1
149,20117,270,1,0,1
150,23457,271,1,0,1
151,18921,272,1,0,1
151,25515,273,0,1,1
152,5626,274,0,1,1
152,20198,275,0,1,1
